state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR, Temp, Toluene, WD, WS, CO, Benzene,P-Xylene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,17-Jan-2018 - 00:00,11.91,733.0,None,368.0,62.25,12.33,None,95.05,135.83,0.31,5.76,14.33,None,109.79,None,142.55,None,31.11,22.3
Delhi,Delhi,site_301,17-Jan-2018 - 01:00,11.67,733.0,None,520.0,64.33,12.58,None,97.08,65.58,0.3,2.51,12.24,None,104.48,None,102.99,441.2,27.5,10.73
Delhi,Delhi,site_301,17-Jan-2018 - 02:00,11.2,733.0,707.0,520.0,68.25,12.25,None,73.59,77.08,0.34,0.42,7.17,None,98.7,70.92,77.52,171.33,21.4,4.21
Delhi,Delhi,site_301,17-Jan-2018 - 03:00,11.55,733.0,498.0,520.0,71.17,12.42,None,33.89,68.92,0.3,0.3,5.17,None,92.37,17.25,58.81,66.37,19.24,1.12
Delhi,Delhi,site_301,17-Jan-2018 - 04:00,10.86,733.0,367.0,272.0,73.58,12.42,None,15.43,72.92,0.3,0.48,5.05,None,91.07,31.37,49.72,72.48,18.81,0.3
Delhi,Delhi,site_301,17-Jan-2018 - 05:00,10.44,733.0,384.0,272.0,75.0,12.33,None,14.02,144.33,0.31,0.96,5.59,None,96.25,88.99,59.52,184.18,17.59,0.84
Delhi,Delhi,site_301,17-Jan-2018 - 06:00,9.96,733.0,427.0,272.0,75.75,12.42,None,12.67,74.92,0.69,0.9,6.28,None,92.39,57.64,55.6,144.23,19.4,13.61
Delhi,Delhi,site_301,17-Jan-2018 - 07:00,8.67,733.0,399.0,272.0,77.33,47.58,None,21.83,66.92,1.48,0.59,5.85,None,88.59,56.43,54.16,135.86,21.48,17.35
Delhi,Delhi,site_301,17-Jan-2018 - 08:00,8.83,733.0,323.0,272.0,79.25,235.08,None,14.72,75.08,2.18,0.72,5.66,None,81.48,28.36,51.38,87.54,18.21,16.06
Delhi,Delhi,site_301,17-Jan-2018 - 09:00,10.49,733.0,356.0,272.0,79.08,426.67,None,15.99,100.08,1.57,1.5,6.32,None,81.85,40.21,63.46,115.12,15.7,16.88
Delhi,Delhi,site_301,17-Jan-2018 - 10:00,12.69,733.0,505.0,315.0,74.42,450.83,None,15.43,97.42,2.38,0.5,6.53,None,75.47,26.97,65.25,97.95,19.4,17.42
Delhi,Delhi,site_301,17-Jan-2018 - 11:00,15.0,733.0,467.0,342.0,64.33,453.58,None,14.15,94.58,2.6,0.56,6.53,None,81.01,17.09,73.27,90.27,21.48,20.75
Delhi,Delhi,site_301,17-Jan-2018 - 12:00,16.95,733.0,454.0,322.0,55.5,453.17,None,13.76,97.33,2.88,0.65,5.94,None,84.31,None,64.76,71.7,27.7,23.96
Delhi,Delhi,site_301,17-Jan-2018 - 13:00,18.55,733.0,417.0,322.0,49.67,445.5,None,12.54,99.33,2.85,0.61,5.53,None,85.46,None,60.67,66.29,30.88,25.21
Delhi,Delhi,site_301,17-Jan-2018 - 14:00,19.39,733.0,404.0,251.0,45.83,427.33,None,11.38,94.75,2.69,0.48,5.06,None,82.21,None,54.22,56.91,38.78,25.49
Delhi,Delhi,site_301,17-Jan-2018 - 15:00,19.94,733.0,379.0,217.0,44.45,417.0,None,11.17,98.03,2.12,0.43,4.57,None,79.24,None,58.3,59.93,40.11,25.37
Delhi,Delhi,site_301,17-Jan-2018 - 16:00,19.57,733.0,372.0,217.0,46.25,364.58,None,11.46,101.75,1.87,0.46,4.73,None,79.69,None,66.33,67.69,38.57,24.54
Delhi,Delhi,site_301,17-Jan-2018 - 17:00,18.28,733.0,372.0,217.0,50.5,113.08,None,13.44,81.42,0.93,0.58,4.91,None,82.03,19.7,85.19,91.52,27.01,22.84
Delhi,Delhi,site_301,17-Jan-2018 - 18:00,16.67,733.0,407.0,217.0,55.42,13.33,None,16.54,79.25,0.32,1.12,5.67,None,85.11,45.47,97.42,153.76,18.57,21.11
Delhi,Delhi,site_301,17-Jan-2018 - 19:00,16.03,733.0,465.0,217.0,62.33,12.25,None,19.26,72.83,0.42,1.79,8.5,None,87.79,51.87,89.92,155.88,17.98,20.91
