state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,01-Jun-2020 - 00:00,28.8,973.8,54.0,38.0,80.78,None,64.6,248.0,0.3,0.5,3.8,20.8,3.68,12.68,9.72,78.0,21.73
Delhi,Delhi,site_301,01-Jun-2020 - 01:00,28.6,973.8,48.75,31.25,81.75,None,11.45,142.25,0.3,0.5,2.38,20.48,4.03,21.78,14.88,49.18,13.88
Delhi,Delhi,site_301,01-Jun-2020 - 02:00,28.38,973.88,57.5,31.25,83.38,None,6.45,210.0,0.3,0.38,3.55,20.75,3.92,13.12,10.18,54.92,12.57
Delhi,Delhi,site_301,01-Jun-2020 - 03:00,28.02,973.9,72.5,37.5,85.23,None,3.62,132.5,0.3,None,2.35,20.98,4.05,12.48,9.97,54.0,12.78
Delhi,Delhi,site_301,01-Jun-2020 - 04:00,27.8,974.0,62.0,38.0,86.5,None,48.23,126.0,0.3,1.02,3.2,21.33,3.73,13.2,10.05,182.6,16.57
Delhi,Delhi,site_301,01-Jun-2020 - 05:00,27.93,974.0,67.5,42.5,86.55,None,40.27,71.25,0.3,2.05,2.6,21.07,4.05,13.15,10.32,133.32,19.88
Delhi,Delhi,site_301,01-Jun-2020 - 06:00,29.45,973.72,57.5,37.0,79.42,None,8.2,182.25,0.3,0.8,2.48,20.67,4.45,15.52,11.85,44.5,20.9
Delhi,Delhi,site_301,01-Jun-2020 - 07:00,31.05,973.48,63.75,37.75,72.3,None,5.22,251.25,0.3,1.07,3.1,22.12,5.0,15.05,12.07,140.6,23.32
Delhi,Delhi,site_301,01-Jun-2020 - 08:00,33.23,973.32,77.0,47.0,63.05,None,10.7,124.25,0.45,3.15,3.03,21.45,5.25,14.8,12.17,100.5,37.82
Delhi,Delhi,site_301,01-Jun-2020 - 09:00,34.95,973.3,80.0,42.25,57.08,None,17.62,158.75,0.43,5.78,2.58,21.6,4.88,17.52,13.3,96.9,21.85
Delhi,Delhi,site_301,01-Jun-2020 - 10:00,35.95,973.3,96.5,48.5,53.77,None,46.0,112.25,0.88,0.6,4.47,21.8,4.53,21.92,15.38,133.97,14.65
Delhi,Delhi,site_301,01-Jun-2020 - 11:00,37.5,973.25,93.5,57.25,50.78,None,36.72,192.75,0.5,1.23,2.2,21.38,4.25,23.93,16.2,None,17.02
Delhi,Delhi,site_301,01-Jun-2020 - 12:00,37.88,973.22,99.75,59.5,48.77,None,32.15,167.75,0.72,0.82,2.15,21.12,4.27,22.57,15.53,None,16.32
Delhi,Delhi,site_301,01-Jun-2020 - 13:00,39.28,972.73,99.75,54.25,44.17,None,28.88,181.0,0.62,0.42,1.8,20.58,3.95,22.05,14.95,187.9,14.32
Delhi,Delhi,site_301,01-Jun-2020 - 14:00,38.3,971.8,86.5,53.0,46.75,None,19.82,113.0,1.15,0.85,1.3,20.55,3.7,20.85,14.12,None,13.5
Delhi,Delhi,site_301,01-Jun-2020 - 15:00,37.9,971.82,92.75,55.25,47.65,None,18.93,134.25,0.95,1.12,1.12,20.98,3.83,16.27,11.8,182.88,14.32
Delhi,Delhi,site_301,01-Jun-2020 - 16:00,37.17,971.88,87.5,53.25,49.33,None,14.7,109.0,0.95,1.33,0.98,21.23,3.9,15.73,11.57,None,16.38
Delhi,Delhi,site_301,01-Jun-2020 - 17:00,35.95,971.9,81.5,53.75,51.83,None,17.9,187.0,0.38,1.0,0.75,20.85,3.98,13.18,10.3,194.95,15.97
Delhi,Delhi,site_301,01-Jun-2020 - 18:00,35.23,971.9,75.25,52.0,53.92,None,6.95,192.5,0.3,1.1,0.9,20.5,4.15,16.2,12.0,151.95,13.47
Delhi,Delhi,site_301,01-Jun-2020 - 19:00,34.23,971.8,71.0,49.75,58.1,None,3.08,172.75,0.3,1.03,0.78,21.0,4.08,18.98,13.43,122.88,12.97
Delhi,Delhi,site_301,01-Jun-2020 - 20:00,33.6,971.8,80.75,57.0,61.3,None,4.38,112.25,0.3,1.02,1.18,21.75,4.15,25.15,16.77,92.72,14.3
Delhi,Delhi,site_301,01-Jun-2020 - 21:00,33.22,972.42,109.0,77.25,63.98,None,71.08,45.25,0.3,1.05,2.75,22.8,4.15,35.27,22.12,62.3,17.05
Delhi,Delhi,site_301,01-Jun-2020 - 22:00,33.2,973.4,139.75,99.5,64.88,None,163.93,55.0,0.3,1.02,4.42,24.33,3.77,41.25,25.02,52.88,16.58
Delhi,Delhi,site_301,02-Jun-2020 - 00:00,32.62,973.48,131.0,94.5,69.3,None,100.4,54.25,0.3,1.7,10.62,24.77,4.9,42.3,26.52,87.95,40.9
Delhi,Delhi,site_301,02-Jun-2020 - 01:00,32.52,973.42,140.25,105.75,68.98,None,122.32,41.25,0.3,1.7,11.85,25.97,4.95,36.25,23.3,112.2,37.65
